央视卫视酒店,#genre#
CCTV-14-高清,http://60.209.160.107:10003/rtp/239.253.254.236:8000
CCTV-15,http://60.209.160.107:10003/rtp/239.253.254.16:8000
CCTV-NEWS,http://60.209.160.107:10003/rtp/239.253.254.17:8000
CCTV-1,http://60.209.160.107:10003/rtp/239.253.254.1:8000
CCTV-2,http://60.209.160.107:10003/rtp/239.253.254.3:8000
CCTV-7,http://60.209.160.107:10003/rtp/239.253.254.8:8000
CCTV-9,http://60.209.160.107:10003/rtp/239.253.254.10:8000
CCTV-12,http://60.209.160.107:10003/rtp/239.253.254.13:8000
CCTV-14,http://60.209.160.107:10003/rtp/239.253.254.15:8000
湖南卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.82:8000
浙江卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.84:8000
东方卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.86:8000
江苏卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.83:8000
北京卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.85:8000
安徽卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.87:8000
深圳卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.91:8000
天津卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.89:8000
湖北卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.88:8000
广东卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.90:8000
辽宁卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.92:8000
黑龙江卫视-高清,http://60.209.160.107:10003/rtp/239.253.254.93:8000
金鹰纪实-高清,http://60.209.160.107:10003/rtp/239.253.254.103:8000
江西卫视,http://60.209.160.107:10003/rtp/239.253.254.47:8000
重庆卫视,http://60.209.160.107:10003/rtp/239.253.254.38:8000
广西卫视,http://60.209.160.107:10003/rtp/239.253.254.40:8000
河南卫视,http://60.209.160.107:10003/rtp/239.253.254.44:8000
东南卫视,http://60.209.160.107:10003/rtp/239.253.254.41:8000
四川卫视,http://60.209.160.107:10003/rtp/239.253.254.50:8000
贵州卫视,http://60.209.160.107:10003/rtp/239.253.254.51:8000
山西卫视,http://60.209.160.107:10003/rtp/239.253.254.48:8000
陕西卫视,http://60.209.160.107:10003/rtp/239.253.254.49:8000
旅游卫视,http://60.209.160.107:10003/rtp/239.253.254.35:8000
云南卫视,http://60.209.160.107:10003/rtp/239.253.254.42:8000
吉林卫视,http://60.209.160.107:10003/rtp/239.253.254.46:8000
甘肃卫视,http://60.209.160.107:10003/rtp/239.253.254.52:8000
宁夏卫视,http://60.209.160.107:10003/rtp/239.253.254.53:8000
青海卫视,http://60.209.160.107:10003/rtp/239.253.254.54:8000
西藏卫视,http://60.209.160.107:10003/rtp/239.253.254.56:8000
新疆卫视,http://60.209.160.107:10003/rtp/239.253.254.60:8000
内蒙古卫视,http://60.209.160.107:10003/rtp/239.253.254.58:8000
兵团卫视,http://60.209.160.107:10003/rtp/239.253.254.57:8000
农林卫视,http://60.209.160.107:10003/rtp/239.253.254.70:8000
山东卫视,http://60.209.160.107:10003/rtp/239.253.254.2:8000
湖南卫视,http://60.209.160.107:10003/rtp/239.253.254.27:8000
浙江卫视,http://60.209.160.107:10003/rtp/239.253.254.29:8000
东方卫视,http://60.209.160.107:10003/rtp/239.253.254.32:8000
江苏卫视,http://60.209.160.107:10003/rtp/239.253.254.28:8000
北京卫视,http://60.209.160.107:10003/rtp/239.253.254.31:8000
安徽卫视,http://60.209.160.107:10003/rtp/239.253.254.30:8000
深圳卫视,http://60.209.160.107:10003/rtp/239.253.254.33:8000
天津卫视,http://60.209.160.107:10003/rtp/239.253.254.34:8000
湖北卫视,http://60.209.160.107:10003/rtp/239.253.254.45:8000
广东卫视,http://60.209.160.107:10003/rtp/239.253.254.39:8000
辽宁卫视,http://60.209.160.107:10003/rtp/239.253.254.36:8000
黑龙江卫视,http://60.209.160.107:10003/rtp/239.253.254.37:8000

央视卫视2,#genre#
CCTV-1,http://60.205.114.16/live/cctv1.m3u8?user=APTV66&line=1
CCTV-2,http://60.205.114.16/live/cctv2.m3u8?user=APTV66&line=1
CCTV-3,http://60.205.114.16/live/cctv3.m3u8?user=APTV66&line=1
CCTV-4,http://60.205.114.16/live/cctv4.m3u8?user=APTV66&line=1
CCTV-5,http://60.205.114.16/live/cctv5.m3u8?user=APTV66&line=1
CCTV-5+,http://60.205.114.16/live/cctv5p.m3u8?user=APTV66&line=1
CCTV-6,http://60.205.114.16/live/cctv6.m3u8?user=APTV66&line=1
CCTV-7,http://60.205.114.16/live/cctv7.m3u8?user=APTV66&line=1
CCTV-8,http://60.205.114.16/live/cctv8.m3u8?user=APTV66&line=1
CCTV-9,http://60.205.114.16/live/cctv9.m3u8?user=APTV66&line=1
CCTV-10,http://60.205.114.16/live/cctv10.m3u8?user=APTV66&line=1
CCTV-11,http://60.205.114.16/live/cctv11.m3u8?user=APTV66&line=1
CCTV-12,http://60.205.114.16/live/cctv12.m3u8?user=APTV66&line=1
CCTV-13,http://60.205.114.16/live/cctv13.m3u8?user=APTV66&line=1
CCTV-14,http://60.205.114.16/live/cctv14.m3u8?user=APTV66&line=1
CCTV-15,http://60.205.114.16/live/cctv15.m3u8?user=APTV66&line=1
CCTV-16,http://60.205.114.16/live/cctv16.m3u8?user=APTV66&line=1
CCTV-17,http://60.205.114.16/live/cctv17.m3u8?user=APTV66&line=1
CCTV-4K,http://60.205.114.16/live/cctv4k.m3u8?user=APTV66&line=1
CCTV-16-4K,http://60.205.114.16/live/cctv164k.m3u8?user=APTV66&line=1
CGTN,http://60.205.114.16/live/cgtn.m3u8?user=APTV66&line=1
北京卫视,http://60.205.114.16/live/bjws.m3u8?user=APTV66&line=1
东方卫视,http://60.205.114.16/live/dfws.m3u8?user=APTV66&line=1
天津卫视,http://60.205.114.16/live/tjws.m3u8?user=APTV66&line=1
重庆卫视,http://60.205.114.16/live/cqws.m3u8?user=APTV66&line=1
黑龙江卫视,http://60.205.114.16/live/hljws.m3u8?user=APTV66&line=1
吉林卫视,http://60.205.114.16/live/jlws.m3u8?user=APTV66&line=1
辽宁卫视,http://60.205.114.16/live/lnws.m3u8?user=APTV66&line=1
内蒙古卫视,http://60.205.114.16/live/nmws.m3u8?user=APTV66&line=1
宁夏卫视,http://60.205.114.16/live/nxws.m3u8?user=APTV66&line=1
甘肃卫视,http://60.205.114.16/live/gsws.m3u8?user=APTV66&line=1
青海卫视,http://60.205.114.16/live/qhws.m3u8?user=APTV66&line=1
陕西卫视,http://60.205.114.16/live/sxws.m3u8?user=APTV66&line=1
河北卫视,http://60.205.114.16/live/hbws.m3u8?user=APTV66&line=1
山西卫视,http://60.205.114.16/live/sxiws.m3u8?user=APTV66&line=1
山东卫视,http://60.205.114.16/live/sdws.m3u8?user=APTV66&line=1
安徽卫视,http://60.205.114.16/live/ahws.m3u8?user=APTV66&line=1
河南卫视,http://60.205.114.16/live/hnws.m3u8?user=APTV66&line=1
湖北卫视,http://60.205.114.16/live/hubws.m3u8?user=APTV66&line=1
湖南卫视,http://60.205.114.16/live/hunws.m3u8?user=APTV66&line=1
江西卫视,http://60.205.114.16/live/jxws.m3u8?user=APTV66&line=1
江苏卫视,http://60.205.114.16/live/jsws.m3u8?user=APTV66&line=1
浙江卫视,http://60.205.114.16/live/zjws.m3u8?user=APTV66&line=1
东南卫视,http://60.205.114.16/live/dnws.m3u8?user=APTV66&line=1
海峡卫视,http://60.205.114.16/live/hxws.m3u8?user=APTV66&line=1
厦门卫视,http://60.205.114.16/live/xmws.m3u8?user=APTV66&line=1
广东卫视,http://60.205.114.16/live/gdws.m3u8?user=APTV66&line=1
深圳卫视,http://60.205.114.16/live/szws.m3u8?user=APTV66&line=1
广西卫视,http://60.205.114.16/live/gxws.m3u8?user=APTV66&line=1
云南卫视,http://60.205.114.16/live/ynws.m3u8?user=APTV66&line=1
贵州卫视,http://60.205.114.16/live/gzws.m3u8?user=APTV66&line=1
四川卫视,http://60.205.114.16/live/scws.m3u8?user=APTV66&line=1
康巴卫视,http://60.205.114.16/live/kbws.m3u8?user=APTV66&line=1
海南卫视,http://60.205.114.16/live/hinws.m3u8?user=APTV66&line=1
三沙卫视,http://60.205.114.16/live/ssws.m3u8?user=APTV66&line=1
新疆卫视,http://60.205.114.16/live/xjws.m3u8?user=APTV66&line=1
兵团卫视,http://60.205.114.16/live/btws.m3u8?user=APTV66&line=1
西藏卫视,http://60.205.114.16/live/xzws.m3u8?user=APTV66&line=1
CETV1,http://60.205.114.16/live/cetv1.m3u8?user=APTV66&line=1
CETV2,http://60.205.114.16/live/cetv2.m3u8?user=APTV66&line=1
CETV4,http://60.205.114.16/live/cetv4.m3u8?user=APTV66&line=1
北京纪实科教,http://60.205.114.16/live/bjjskj.m3u8?user=APTV66&line=1
纪实人文,http://60.205.114.16/live/shjsrw.m3u8?user=APTV66&line=1
动漫秀场,http://60.205.114.16/live/dmxc.m3u8?user=APTV66&line=1
哈哈炫动,http://60.205.114.16/live/hhxd.m3u8?user=APTV66&line=1
欢笑剧场,http://60.205.114.16/live/hxjc.m3u8?user=APTV66&line=1
欢笑剧场 4K,http://60.205.114.16/live/hxjc4k.m3u8?user=APTV66&line=1
都市剧场,http://60.205.114.16/live/dsjc.m3u8?user=APTV66&line=1
五星体育,http://60.205.114.16/live/wxty.m3u8?user=APTV66&line=1
劲爆体育,http://60.205.114.16/live/jbty.m3u8?user=APTV66&line=1
新视觉,http://60.205.114.16/live/xsj.m3u8?user=APTV66&line=1
游戏风云,http://60.205.114.16/live/yxfy.m3u8?user=APTV66&line=1
生活时尚,http://60.205.114.16/live/shss.m3u8?user=APTV66&line=1
金色学堂,http://60.205.114.16/live/jspd.m3u8?user=APTV66&line=1
乐游,http://60.205.114.16/live/qjs.m3u8?user=APTV66&line=1
魅力足球,http://60.205.114.16/live/mlzq.m3u8?user=APTV66&line=1
茶频道,http://60.205.114.16/live/cpd.m3u8?user=APTV66&line=1
快乐垂钓,http://60.205.114.16/live/klcd.m3u8?user=APTV66&line=1
金鹰纪实,http://60.205.114.16/live/jyjs.m3u8?user=APTV66&line=1
金鹰卡通,http://60.205.114.16/live/jykt.m3u8?user=APTV66&line=1
嘉佳卡通,http://60.205.114.16/live/jjkt.m3u8?user=APTV66&line=1
财富天下,http://60.205.114.16/live/cftx.m3u8?user=APTV66&line=1
中国天气,http://60.205.114.16/live/zgtq.m3u8?user=APTV66&line=1
上海新闻综合,http://60.205.114.16/live/shxwzh.m3u8?user=APTV66&line=1
上海都市,http://60.205.114.16/live/shds.m3u8?user=APTV66&line=1
东方影视,http://60.205.114.16/live/dfys.m3u8?user=APTV66&line=1
七彩戏剧,http://60.205.114.16/live/qcxj.m3u8?user=APTV66&line=1
第一财经,http://60.205.114.16/live/dycj.m3u8?user=APTV66&line=1
法治天地,http://60.205.114.16/live/fztd.m3u8?user=APTV66&line=1
东方财经,http://60.205.114.16/live/dfcj.m3u8?user=APTV66&line=1
上海教育,http://60.205.114.16/live/shjy.m3u8?user=APTV66&line=1
看天下精选,http://60.205.114.16/live/ktxjx.m3u8?user=APTV66&line=1
华语影院,http://60.205.114.16/live/hyyy.m3u8?user=APTV66&line=1
电竞天堂,http://60.205.114.16/live/djtt.m3u8?user=APTV66&line=1
青春动漫,http://60.205.114.16/live/qcdm.m3u8?user=APTV66&line=1
星光影院,http://60.205.114.16/live/xgyy.m3u8?user=APTV66&line=1
谍战剧场,http://60.205.114.16/live/dzjc.m3u8?user=APTV66&line=1
全球大片,http://60.205.114.16/live/qqdp.m3u8?user=APTV66&line=1
热门剧场,http://60.205.114.16/live/rmjc.m3u8?user=APTV66&line=1
热门综艺,http://60.205.114.16/live/rmzy.m3u8?user=APTV66&line=1
戏曲精选,http://60.205.114.16/live/xqjx.m3u8?user=APTV66&line=1
健康养生,http://60.205.114.16/live/jkys.m3u8?user=APTV66&line=1
百变课堂,http://60.205.114.16/live/bbkt.m3u8?user=APTV66&line=1
宝宝动画,http://60.205.114.16/live/bbdh.m3u8?user=APTV66&line=1
百视通体育1,http://60.205.114.16/live/sport1.m3u8?user=APTV66&line=1
百视通体育2,http://60.205.114.16/live/sport2.m3u8?user=APTV66&line=1
百视通体育3,http://60.205.114.16/live/sport3.m3u8?user=APTV66&line=1
百视通体育4,http://60.205.114.16/live/sport4.m3u8?user=APTV66&line=1
百视通体育5,http://60.205.114.16/live/sport5.m3u8?user=APTV66&line=1
百视通体育6,http://60.205.114.16/live/sport6.m3u8?user=APTV66&line=1
百视通体育7,http://60.205.114.16/live/sport7.m3u8?user=APTV66&line=1

央视卫视3,#genre#
CCTV-1,http://60.205.114.16/live/cctv1.m3u8?user=APTV66&line=2
CCTV-2,http://60.205.114.16/live/cctv2.m3u8?user=APTV66&line=2
CCTV-3,http://60.205.114.16/live/cctv3.m3u8?user=APTV66&line=2
CCTV-4,http://60.205.114.16/live/cctv4.m3u8?user=APTV66&line=2
CCTV-5,http://60.205.114.16/live/cctv5.m3u8?user=APTV66&line=2
CCTV-5+,http://60.205.114.16/live/cctv5p.m3u8?user=APTV66&line=2
CCTV-6,http://60.205.114.16/live/cctv6.m3u8?user=APTV66&line=2
CCTV-7,http://60.205.114.16/live/cctv7.m3u8?user=APTV66&line=2
CCTV-8,http://60.205.114.16/live/cctv8.m3u8?user=APTV66&line=2
CCTV-9,http://60.205.114.16/live/cctv9.m3u8?user=APTV66&line=2
CCTV-10,http://60.205.114.16/live/cctv10.m3u8?user=APTV66&line=2
CCTV-11,http://60.205.114.16/live/cctv11.m3u8?user=APTV66&line=2
CCTV-12,http://60.205.114.16/live/cctv12.m3u8?user=APTV66&line=2
CCTV-13,http://60.205.114.16/live/cctv13.m3u8?user=APTV66&line=2
CCTV-14,http://60.205.114.16/live/cctv14.m3u8?user=APTV66&line=2
CCTV-15,http://60.205.114.16/live/cctv15.m3u8?user=APTV66&line=2
CCTV-16,http://60.205.114.16/live/cctv16.m3u8?user=APTV66&line=2
CCTV-17,http://60.205.114.16/live/cctv17.m3u8?user=APTV66&line=2
CCTV-4K,http://60.205.114.16/live/cctv4k.m3u8?user=APTV66&line=2
CCTV-16-4K,http://60.205.114.16/live/cctv164k.m3u8?user=APTV66&line=2
CGTN,http://60.205.114.16/live/cgtn.m3u8?user=APTV66&line=2
北京卫视,http://60.205.114.16/live/bjws.m3u8?user=APTV66&line=2
东方卫视,http://60.205.114.16/live/dfws.m3u8?user=APTV66&line=2
天津卫视,http://60.205.114.16/live/tjws.m3u8?user=APTV66&line=2
重庆卫视,http://60.205.114.16/live/cqws.m3u8?user=APTV66&line=2
黑龙江卫视,http://60.205.114.16/live/hljws.m3u8?user=APTV66&line=2
吉林卫视,http://60.205.114.16/live/jlws.m3u8?user=APTV66&line=2
辽宁卫视,http://60.205.114.16/live/lnws.m3u8?user=APTV66&line=2
内蒙古卫视,http://60.205.114.16/live/nmws.m3u8?user=APTV66&line=2
宁夏卫视,http://60.205.114.16/live/nxws.m3u8?user=APTV66&line=2
甘肃卫视,http://60.205.114.16/live/gsws.m3u8?user=APTV66&line=2
青海卫视,http://60.205.114.16/live/qhws.m3u8?user=APTV66&line=2
陕西卫视,http://60.205.114.16/live/sxws.m3u8?user=APTV66&line=2
河北卫视,http://60.205.114.16/live/hbws.m3u8?user=APTV66&line=2
山西卫视,http://60.205.114.16/live/sxiws.m3u8?user=APTV66&line=2
山东卫视,http://60.205.114.16/live/sdws.m3u8?user=APTV66&line=2
安徽卫视,http://60.205.114.16/live/ahws.m3u8?user=APTV66&line=2
河南卫视,http://60.205.114.16/live/hnws.m3u8?user=APTV66&line=2
湖北卫视,http://60.205.114.16/live/hubws.m3u8?user=APTV66&line=2
湖南卫视,http://60.205.114.16/live/hunws.m3u8?user=APTV66&line=2
江西卫视,http://60.205.114.16/live/jxws.m3u8?user=APTV66&line=2
江苏卫视,http://60.205.114.16/live/jsws.m3u8?user=APTV66&line=2
浙江卫视,http://60.205.114.16/live/zjws.m3u8?user=APTV66&line=2
东南卫视,http://60.205.114.16/live/dnws.m3u8?user=APTV66&line=2
海峡卫视,http://60.205.114.16/live/hxws.m3u8?user=APTV66&line=2
厦门卫视,http://60.205.114.16/live/xmws.m3u8?user=APTV66&line=2
广东卫视,http://60.205.114.16/live/gdws.m3u8?user=APTV66&line=2
深圳卫视,http://60.205.114.16/live/szws.m3u8?user=APTV66&line=2
广西卫视,http://60.205.114.16/live/gxws.m3u8?user=APTV66&line=2
云南卫视,http://60.205.114.16/live/ynws.m3u8?user=APTV66&line=2
贵州卫视,http://60.205.114.16/live/gzws.m3u8?user=APTV66&line=2
四川卫视,http://60.205.114.16/live/scws.m3u8?user=APTV66&line=2
康巴卫视,http://60.205.114.16/live/kbws.m3u8?user=APTV66&line=2
海南卫视,http://60.205.114.16/live/hinws.m3u8?user=APTV66&line=2
新疆卫视,http://60.205.114.16/live/xjws.m3u8?user=APTV66&line=2
兵团卫视,http://60.205.114.16/live/btws.m3u8?user=APTV66&line=2
西藏卫视,http://60.205.114.16/live/xzws.m3u8?user=APTV66&line=2
CETV1,http://60.205.114.16/live/cetv1.m3u8?user=APTV66&line=2
CETV2,http://60.205.114.16/live/cetv2.m3u8?user=APTV66&line=2
CETV4,http://60.205.114.16/live/cetv4.m3u8?user=APTV66&line=2
北京纪实科教,http://60.205.114.16/live/bjjskj.m3u8?user=APTV66&line=2
纪实人文,http://60.205.114.16/live/shjsrw.m3u8?user=APTV66&line=2
动漫秀场,http://60.205.114.16/live/dmxc.m3u8?user=APTV66&line=2
哈哈炫动,http://60.205.114.16/live/hhxd.m3u8?user=APTV66&line=2
欢笑剧场,http://60.205.114.16/live/hxjc.m3u8?user=APTV66&line=2
欢笑剧场 4K,http://60.205.114.16/live/hxjc4k.m3u8?user=APTV66&line=2
都市剧场,http://60.205.114.16/live/dsjc.m3u8?user=APTV66&line=2
五星体育,http://60.205.114.16/live/wxty.m3u8?user=APTV66&line=2
劲爆体育,http://60.205.114.16/live/jbty.m3u8?user=APTV66&line=2
新视觉,http://60.205.114.16/live/xsj.m3u8?user=APTV66&line=2
游戏风云,http://60.205.114.16/live/yxfy.m3u8?user=APTV66&line=2
生活时尚,http://60.205.114.16/live/shss.m3u8?user=APTV66&line=2
金色学堂,http://60.205.114.16/live/jspd.m3u8?user=APTV66&line=2
乐游,http://60.205.114.16/live/qjs.m3u8?user=APTV66&line=2
魅力足球,http://60.205.114.16/live/mlzq.m3u8?user=APTV66&line=2
茶频道,http://60.205.114.16/live/cpd.m3u8?user=APTV66&line=2
快乐垂钓,http://60.205.114.16/live/klcd.m3u8?user=APTV66&line=2
金鹰纪实,http://60.205.114.16/live/jyjs.m3u8?user=APTV66&line=2
金鹰卡通,http://60.205.114.16/live/jykt.m3u8?user=APTV66&line=2
嘉佳卡通,http://60.205.114.16/live/jjkt.m3u8?user=APTV66&line=2
财富天下,http://60.205.114.16/live/cftx.m3u8?user=APTV66&line=2
中国天气,http://60.205.114.16/live/zgtq.m3u8?user=APTV66&line=2
上海新闻综合,http://60.205.114.16/live/shxwzh.m3u8?user=APTV66&line=2
上海都市,http://60.205.114.16/live/shds.m3u8?user=APTV66&line=2
东方影视,http://60.205.114.16/live/dfys.m3u8?user=APTV66&line=2
七彩戏剧,http://60.205.114.16/live/qcxj.m3u8?user=APTV66&line=2
第一财经,http://60.205.114.16/live/dycj.m3u8?user=APTV66&line=2
法治天地,http://60.205.114.16/live/fztd.m3u8?user=APTV66&line=2
东方财经,http://60.205.114.16/live/dfcj.m3u8?user=APTV66&line=2
上海教育,http://60.205.114.16/live/shjy.m3u8?user=APTV66&line=2
东方购物,http://60.205.114.16/live/dfgw.m3u8?user=APTV66&line=2
浦东电视台,http://60.205.114.16/live/pdtv.m3u8?user=APTV66&line=2
福建综合,http://60.205.114.16/live/fjzh.m3u8?user=APTV66&line=2
福建新闻,http://60.205.114.16/live/fjxw.m3u8?user=APTV66&line=2
福建电视剧,http://60.205.114.16/live/fjdsj.m3u8?user=APTV66&line=2
福建文体,http://60.205.114.16/live/fjwt.m3u8?user=APTV66&line=2
福建少儿,http://60.205.114.16/live/fjse.m3u8?user=APTV66&line=2
福建旅游,http://60.205.114.16/live/fjly.m3u8?user=APTV66&line=2
福建经济,http://60.205.114.16/live/fjjj.m3u8?user=APTV66&line=2
福建公共,http://60.205.114.16/live/fjgg.m3u8?user=APTV66&line=2
福建教育,http://60.205.114.16/live/fjjy.m3u8?user=APTV66&line=2
看天下精选,http://60.205.114.16/live/ktxjx.m3u8?user=APTV66&line=2
华语影院,http://60.205.114.16/live/hyyy.m3u8?user=APTV66&line=2
电竞天堂,http://60.205.114.16/live/djtt.m3u8?user=APTV66&line=2
青春动漫,http://60.205.114.16/live/qcdm.m3u8?user=APTV66&line=2
星光影院,http://60.205.114.16/live/xgyy.m3u8?user=APTV66&line=2
谍战剧场,http://60.205.114.16/live/dzjc.m3u8?user=APTV66&line=2
全球大片,http://60.205.114.16/live/qqdp.m3u8?user=APTV66&line=2
热门剧场,http://60.205.114.16/live/rmjc.m3u8?user=APTV66&line=2
热门综艺,http://60.205.114.16/live/rmzy.m3u8?user=APTV66&line=2
戏曲精选,http://60.205.114.16/live/xqjx.m3u8?user=APTV66&line=2
健康养生,http://60.205.114.16/live/jkys.m3u8?user=APTV66&line=2
百变课堂,http://60.205.114.16/live/bbkt.m3u8?user=APTV66&line=2
宝宝动画,http://60.205.114.16/live/bbdh.m3u8?user=APTV66&line=2
百视通体育1,http://60.205.114.16/live/sport1.m3u8?user=APTV66&line=2
百视通体育2,http://60.205.114.16/live/sport2.m3u8?user=APTV66&line=2
百视通体育3,http://60.205.114.16/live/sport3.m3u8?user=APTV66&line=2
百视通体育4,http://60.205.114.16/live/sport4.m3u8?user=APTV66&line=2
百视通体育5,http://60.205.114.16/live/sport5.m3u8?user=APTV66&line=2
百视通体育6,http://60.205.114.16/live/sport6.m3u8?user=APTV66&line=2
百视通体育7,http://60.205.114.16/live/sport7.m3u8?user=APTV66&line=2

央视卫视3,#genre#
CCTV-1,http://60.205.114.16/live/cctv1.m3u8?user=APTV66&line=3
CCTV-2,http://60.205.114.16/live/cctv2.m3u8?user=APTV66&line=3
CCTV-3,http://60.205.114.16/live/cctv3.m3u8?user=APTV66&line=3
CCTV-4,http://60.205.114.16/live/cctv4.m3u8?user=APTV66&line=3
CCTV-5,http://60.205.114.16/live/cctv5.m3u8?user=APTV66&line=3
CCTV-5+,http://60.205.114.16/live/cctv5p.m3u8?user=APTV66&line=3
CCTV-6,http://60.205.114.16/live/cctv6.m3u8?user=APTV66&line=3
CCTV-7,http://60.205.114.16/live/cctv7.m3u8?user=APTV66&line=3
CCTV-8,http://60.205.114.16/live/cctv8.m3u8?user=APTV66&line=3
CCTV-9,http://60.205.114.16/live/cctv9.m3u8?user=APTV66&line=3
CCTV-10,http://60.205.114.16/live/cctv10.m3u8?user=APTV66&line=3
CCTV-11,http://60.205.114.16/live/cctv11.m3u8?user=APTV66&line=3
CCTV-12,http://60.205.114.16/live/cctv12.m3u8?user=APTV66&line=3
CCTV-13,http://60.205.114.16/live/cctv13.m3u8?user=APTV66&line=3
CCTV-14,http://60.205.114.16/live/cctv14.m3u8?user=APTV66&line=3
CCTV-15,http://60.205.114.16/live/cctv15.m3u8?user=APTV66&line=3
CCTV-16,http://60.205.114.16/live/cctv16.m3u8?user=APTV66&line=3
CCTV-17,http://60.205.114.16/live/cctv17.m3u8?user=APTV66&line=3
CCTV-4K,http://60.205.114.16/live/cctv4k.m3u8?user=APTV66&line=3
